Career (Small List),Exact Matched Careers
"Derrick Crane Operator, Magnetic","Derrick Crane Operator, Magnetic"
Diamond Driller,Diamond Driller
Digger (Mine &amp; Quarry),Digger (Mine &amp; Quarry)
Gauger,Gauger
Hoist Operator,Hoist Operator
Longwall Operator,Longwall Operator
"Miner, Coal Cutting Machine","Miner, Coal Cutting Machine"
"Miner, Metal","Miner, Metal"
Pile Driver,Pile Driver
"Quarryman, Stone","Quarryman, Stone"
"Scraper Driver, Mines","Scraper Driver, Mines"
Shot Firer,Shot Firer
Strata Monitoring Operator,Strata Monitoring Operator
Mine Surveyor,Mine Surveyor
"Working Proprietor, Quarry","Working Proprietor, Quarry"
Bathroom and Kitchen Designer,Bathroom and Kitchen Designer
"Electrical Supervisor, Wiring","Electrical Supervisor, Wiring"
Plumber (After Sales Service),Plumber (After Sales Service)
Plumber (General),Plumber (General)
Plumber (General) - II,Plumber (General) - II
Plumber (General) Assistant,Plumber (General) Assistant
Plumber (Maintenance &amp; Servicing),Plumber (Maintenance &amp; Servicing)
Plumber (Maintenance &amp; Servicing) Assistant,Plumber (Maintenance &amp; Servicing) Assistant
Plumber,"Plumber, Plumber"
Plumber (Pumps &amp; EM Mechanic),Plumber (Pumps &amp; EM Mechanic)
Plumber (Sanitary Fixtures Fitter Assistant),Plumber (Sanitary Fixtures Fitter Assistant)
Plumber (Welder) Assistant,Plumber (Welder) Assistant
Plumber Foreman,Plumber Foreman
Plumber Mason,Plumber Mason
Plumber,"Plumber, Plumber"
Plumbing Draftsman,Plumbing Draftsman
Plumbing Site Engineer,Plumbing Site Engineer
"Supervisor and Foreman, Plumbing and Pipe Fitting","Supervisor and Foreman, Plumbing and Pipe Fitting"
"Supervisor and Foreman, Insulation","Supervisor and Foreman, Insulation"
Construction Work Supervisor,Construction Work Supervisor
Tower Technician,Tower Technician
Wiring Inspector,Wiring Inspector
Airport Engineer,Airport Engineer
Bricklayer,Bricklayer
Rigger: Rigging of Heavy Material,Rigger: Rigging of Heavy Material
Supervisor - Refractory Brick Laying,Supervisor - Refractory Brick Laying
Bailiff,Bailiff
Energy Auditor,Energy Auditor
Lineman Construction – Distribution,Lineman Construction – Distribution
"Lineman, Light and Power","Lineman, Light and Power"
"Manager, Electricity","Manager, Electricity"
Operator Coal Handling - Thermal Power Generation,Operator Coal Handling - Thermal Power Generation
Pipe Fitter,Pipe Fitter
Senior Lineman – Distribution,Senior Lineman – Distribution
Surveyor - Transmission Line,Surveyor - Transmission Line
Blueprinter,Blueprinter
Building Operator Footwear,Building Operator Footwear
Building Operator Sports Goods,Building Operator Sports Goods
Core Laying Machine Operator,Core Laying Machine Operator
"Supervisor and Foreman, Carpentry, Cabinet Making and Related Wood Working Processes","Supervisor and Foreman, Carpentry, Cabinet Making and Related Wood Working Processes"
Backhoe Loader Operator,"Backhoe Loader Operator, Backhoe Loader Operator"
Backhoe Loader Operator,"Backhoe Loader Operator, Backhoe Loader Operator"
Bulldozer Operator,Bulldozer Operator
Concrete Pump Operator,Concrete Pump Operator
Crawler Crane Operator,Crawler Crane Operator
Excavator Operator,Excavator Operator
Grader Operator,Grader Operator
Junior Excavator Operator,Junior Excavator Operator
Loader Operator,Loader Operator
Window Cleaner,Window Cleaner
Painter Level 3,Painter Level 3
Painter (Level 4),Painter (Level 4)
Acoustical Insulator,Acoustical Insulator
Assistant Bar Bender &amp; Fixer,Assistant Bar Bender &amp; Fixer
Assistant Electrician,Assistant Electrician
Assistant False Ceiling and Drywall Installer,Assistant False Ceiling and Drywall Installer
Assistant Mason,Assistant Mason
Assistant Painter &amp; Decorator,Assistant Painter &amp; Decorator
Assistant Scaffolder,Assistant Scaffolder
Assistant Shuttering Carpenter,Assistant Shuttering Carpenter
Brick Layerer,Brick Layerer
"Building Insulator, Hand","Building Insulator, Hand"
Building Insulator,Building Insulator
Cast Stone Maker,Cast Stone Maker
Cement Finisher,Cement Finisher
Concrete Mixer (Mosaic Tile),Concrete Mixer (Mosaic Tile)
Concrete Mixer Operator,Concrete Mixer Operator
Construction Painter and Decorator,Construction Painter and Decorator
False Ceiling &amp; Drywall Installer,False Ceiling &amp; Drywall Installer
Grinder - Construction,Grinder - Construction
Helper Bar Bender &amp; Fixer,Helper Bar Bender &amp; Fixer
Helper Electrician,Helper Electrician
Helper Façade Installer,Helper Façade Installer
Helper Interior Finishes,Helper Interior Finishes
Helper Mason,Helper Mason
Helper Painter &amp; Decorator,Helper Painter &amp; Decorator
Hut Maker,Hut Maker
Mosaic Layer,Mosaic Layer
"Painter, Building","Painter, Building"
"Painter, General","Painter, General"
"Painter, Glass","Painter, Glass"
"Painter, Mate","Painter, Mate"
"Painter, Steel Structure","Painter, Steel Structure"
Paper Hanger,Paper Hanger
Parquetry Floor Layer,Parquetry Floor Layer
Plasterer,Plasterer
Stone Mason,Stone Mason
"Tile Layer, Roof","Tile Layer, Roof"
Tile Setter,Tile Setter
"Tractor Driver, Construction","Tractor Driver, Construction"
Solar Panel Installation Technician,Solar Panel Installation Technician
Window Opener (also known as Manual Window Opener),Window Opener (also known as Manual Window Opener)
Helper-Dry Operations (Finished Leather),Helper-Dry Operations (Finished Leather)
"Renovator, Paintings","Renovator, Paintings"
Set Plasterer,Set Plasterer
Hand Driller,Hand Driller
"Groove Cutter, Mining","Groove Cutter, Mining"
Mine Cutting and Channeling Machine Operator,Mine Cutting and Channeling Machine Operator
Mica Miner,Mica Miner
"Overman, Colliery","Overman, Colliery"
"Sand Blast Operator, Construction","Sand Blast Operator, Construction"
Shaft Worker,Shaft Worker
"Sirdar, Colliery","Sirdar, Colliery"
"Supervisor and Foreman, Mineral Treating","Supervisor and Foreman, Mineral Treating"
Trench Digging Machine Operator,Trench Digging Machine Operator
Ventilation Adequacy Checker-Fan Operator,Ventilation Adequacy Checker-Fan Operator
Wagon Driller,Wagon Driller
Plumber (General) Helper,Plumber (General) Helper
Plumbing Supervisor,Plumbing Supervisor
Building Caretaker,Building Caretaker
Sorter,"Sorter, Sorter"
Stenciler,Stenciler
Carpet Repair Specialist,Carpet Repair Specialist
Hammering Artisan,Hammering Artisan
Quality Checker - Stonecraft,Quality Checker - Stonecraft
Building Operator,Building Operator
Loftsman,Loftsman
Junior Backhoe Operator,Junior Backhoe Operator
Layerman,Layerman
Topographical Auxiliary,Topographical Auxiliary
Building Operator Cables,Building Operator Cables
Account Director (Advertising Agency),Account Director (Advertising Agency)
"Director, Research (Motion Picture, Radio &amp; TV)","Director, Research (Motion Picture, Radio &amp; TV)"
Executive Producer,Executive Producer
VFX Editor,VFX Editor
Director of Communications,Director of Communications
Professional Athlete,Professional Athlete
Assistant Fashion Designer,Assistant Fashion Designer
Garment Designer,Garment Designer
Fashion Designer,Fashion Designer
Master Cutter,Master Cutter
Online Sample Designer,Online Sample Designer
3D Modeller,"3D Modeller, 3D Modeller"
Business Correspondent,Business Correspondent
"Dresser, Stage and Studio","Dresser, Stage and Studio"
Make-Up Trainer,Make-Up Trainer
Senior Stylist,Senior Stylist
Theatrical and Media Make-Up Artist,Theatrical and Media Make-Up Artist
Package Designer,"Package Designer, Package Designer"
Package Designer,"Package Designer, Package Designer"
"Electrician, Stage and Studio","Electrician, Stage and Studio"
Performance Tester-TV,Performance Tester-TV
Safety Testing Technician-TV,Safety Testing Technician-TV
Design Merchandiser,Design Merchandiser
Advertisement Writer,Advertisement Writer
Animation Director,Animation Director
Animator,"Animator, Animator"
Art Director,Art Director
Cinematographer,Cinematographer
Clean-up Artist,Clean-up Artist
Colourist,Colourist
Commentator (Motion Picture),Commentator (Motion Picture)
Commercial Artist,Commercial Artist
Compositor,Compositor
Creative Writer,Creative Writer
"Director, Music","Director, Music"
Editor,Editor
Language Specialist,Language Specialist
Layout Designer,Layout Designer
Lighting Artist,Lighting Artist
Line Producer,Line Producer
Live Action Director,Live Action Director
Make-Up Artist,"Make-Up Artist, Make-Up Artist"
3D Modeller,"3D Modeller, 3D Modeller"
Music Composer,Music Composer
Aerial Photographer,Aerial Photographer
Photographer,Photographer
Film Producer,Film Producer
Stage Producer,Stage Producer
Production Manager (Motion Picture),Production Manager (Motion Picture)
Publicity Officer,Publicity Officer
Rendering Artist,Rendering Artist
Rigging Artist,Rigging Artist
Roto Artist,Roto Artist
Script Editor,Script Editor
Script Researcher,Script Researcher
Script Writer,Script Writer
Set Decorator,Set Decorator
Sound Designer,Sound Designer
Sound Editor,Sound Editor
Sound Engineer,"Sound Engineer, Sound Engineer"
"Station Director, RadioTV","Station Director, RadioTV"
Stuntman,Stuntman
Traffic Coordinator (Media Organization),Traffic Coordinator (Media Organization)
Translator,Translator
Unit Production Manager,Unit Production Manager
Voice-Over Artist,Voice-Over Artist
News Librarian,News Librarian
"Preservation Assistant, Archives","Preservation Assistant, Archives"
"Restorer, Ceramics","Restorer, Ceramics"
"Restorer, Painting","Restorer, Painting"
"University and College Teacher, Fine Arts","University and College Teacher, Fine Arts"
"Restorer, Paper and Paints","Restorer, Paper and Paints"
"Cameraman, Photomechanical","Cameraman, Photomechanical"
Lithographic Designer,Lithographic Designer
Microstat Cameraman,Microstat Cameraman
"Retoucher, Photographic","Retoucher, Photographic"
Assistant Designer - Home Furnishing,Assistant Designer - Home Furnishing
Dress Maker,Dress Maker
"Hand Embroider, General","Hand Embroider, General"
Hand Embroiderer (Addawala),Hand Embroiderer (Addawala)
Hand Embroiderer (Zari),Hand Embroiderer (Zari)
Hat Maker,Hat Maker
Wig Maker,Wig Maker
Assistant Tattoo Artist,Assistant Tattoo Artist
Bridal Fashion and Photographic Make-Up Artist,Bridal Fashion and Photographic Make-Up Artist
Ladies' Hairdresser,Ladies' Hairdresser
Make-Up Artist,"Make-Up Artist, Make-Up Artist"
Mehendi Specialist,Mehendi Specialist
Senior Prosthetic and Media Make-Up Artist,Senior Prosthetic and Media Make-Up Artist
Tattoo Artist,Tattoo Artist
Tattoo Trainer,Tattoo Trainer
Decorator,Decorator
"Painter, Brush","Painter, Brush"
"Painter, Sign &amp; Letter","Painter, Sign &amp; Letter"
Stone Carver,Stone Carver
Television Repair Technician,Television Repair Technician
TV Repair Technician,TV Repair Technician
Hand Sketch Designer,Hand Sketch Designer
Dresser,Dresser
Purse Maker,Purse Maker
Stitcher,Stitcher
"Musicians, Singers, and Composers","Musicians, Singers, and Composers"
Acrobat,Acrobat
Actor / Actress,Actor / Actress
Cameraman,Cameraman
Caption Writer,Caption Writer
Cartoonist,Cartoonist
Character Designer,Character Designer
Choreographer,Choreographer
Circus Performer,Circus Performer
Colour Key Artist,Colour Key Artist
Columnist,Columnist
Commentary Writer,Commentary Writer
Contortionist,Contortionist
Critic,Critic
Dance Director,Dance Director
Dancer,Dancer
"Director, Theatrical","Director, Theatrical"
Disc Jockey (DJ),Disc Jockey (DJ)
Freelance Journalist,Freelance Journalist
Percussion Instrumentalist,Percussion Instrumentalist
"Instrumental Musician, String Instrument","Instrumental Musician, String Instrument"
"Instrumental Musician, Wind Instrument","Instrumental Musician, Wind Instrument"
Juggler,Juggler
Magician,Magician
Model,Model
Fashion Model,Fashion Model
Movie Cameraman,Movie Cameraman
Nattuvanar,Nattuvanar
News Reporter,News Reporter
Orchestra Conductor,Orchestra Conductor
Fine Art Painter,Fine Art Painter
News Photographer,News Photographer
Poet,Poet
Programme Announcer,Programme Announcer
Prompter,Prompter
Puppeteer,Puppeteer
Radio Commentator,Radio Commentator
Set Carpenter,Set Carpenter
Set Painter,Set Painter
Singer,Singer
Sound Recording Equipment Operator,Sound Recording Equipment Operator
Stone Modeller,Stone Modeller
Storyboard Artist,Storyboard Artist
Sub-Editor,Sub-Editor
Texturing Artist,Texturing Artist
Usher,Usher
Ventriloquist,Ventriloquist
Coin Collector,Coin Collector
Book Maker,Book Maker
Archivist,Archivist
Biographer,Biographer
Museum Curator,Museum Curator
Epigraphist,Epigraphist
Film Librarian,Film Librarian
Numismatist,Numismatist
Philatelist,Philatelist
"Restorer, Furniture","Restorer, Furniture"
"Restorer, Lace and Textile","Restorer, Lace and Textile"
Panman,Panman
Bead Maker (Glass),Bead Maker (Glass)
Glass Blower,Glass Blower
"Caster, Pottery and Porcelain","Caster, Pottery and Porcelain"
Clay Modeller,Clay Modeller
"Modeller, Pottery and Porcelain","Modeller, Pottery and Porcelain"
Potter / Potter's Wheel Operator,Potter / Potter's Wheel Operator
Bamboo Artwork Maker,Bamboo Artwork Maker
Basket Maker,Basket Maker
Clay Maker (Pottery),Clay Maker (Pottery)
Clay Toy Maker / Hand Moulder,Clay Toy Maker / Hand Moulder
Crochet Lace Maker - Accessories,Crochet Lace Maker - Accessories
Decorator (Ceramics),Decorator (Ceramics)
Designer &amp; Sketcher,Designer &amp; Sketcher
Doll Maker,Doll Maker
Embossing Artisan,Embossing Artisan
"Engraver, Glass","Engraver, Glass"
Engraving Artisan,Engraving Artisan
Hand Painter (Ceramics),Hand Painter (Ceramics)
Inlay Artisan,Inlay Artisan
Inlay Artisan - Stonecraft,Inlay Artisan - Stonecraft
Master Crochet Lace Maker,Master Crochet Lace Maker
Painter Nakkash,Painter Nakkash
Paper Mache Art Designer,Paper Mache Art Designer
Paper Mache Art Promoter,Paper Mache Art Promoter
Threading Artisan,Threading Artisan
Screen and Crusher Operator,Screen and Crusher Operator
Reporter,Reporter
Bagpipe Maker,Bagpipe Maker
Bellow Man (Harmonium),Bellow Man (Harmonium)
"Drum Maker, Musical","Drum Maker, Musical"
Musical Instrument Maker (String),Musical Instrument Maker (String)
Musical Instrument Repairer,Musical Instrument Repairer
Organ Tuner,Organ Tuner
Piano Tuner,Piano Tuner
Reed Fitter (Harmonium),Reed Fitter (Harmonium)
Tabla Maker,Tabla Maker
"Flower Maker, Paper","Flower Maker, Paper"
Papier Mache Moulder,Papier Mache Moulder
"Presser, Handmade Paper","Presser, Handmade Paper"
"Tub-Sizer, Hand Made Paper","Tub-Sizer, Hand Made Paper"
Photographic Developer,Photographic Developer
Photo Enlarger Operator,Photo Enlarger Operator
Film Developing Machine Operator,Film Developing Machine Operator
Lithographic Artist,Lithographic Artist
Makeup Artist,Makeup Artist
Photo Type Setting Machine Operator,Photo Type Setting Machine Operator
Photographic Dark Room Operative,Photographic Dark Room Operative
Photographic Printer,Photographic Printer
"Printing Machine Operator, Photographic","Printing Machine Operator, Photographic"
"Retoucher, Lithographic","Retoucher, Lithographic"
"Supervisor and Foreman, Photo Litho, Photo Engraving and Dark Room Operations","Supervisor and Foreman, Photo Litho, Photo Engraving and Dark Room Operations"
Type Dresser,Type Dresser
Cricket Umpire,Cricket Umpire
"Braid Maker, Hand","Braid Maker, Hand"
Drawing Artist,Drawing Artist
Hand Dyer,Hand Dyer
Hand Knitter,Hand Knitter
"Stencil Cutter, Silk Screen Printing","Stencil Cutter, Silk Screen Printing"
Textile Designer,Textile Designer
Weaving Master,Weaving Master
Furniture Designer,Furniture Designer
Picture Framer,Picture Framer
"Wood Carver, Hand","Wood Carver, Hand"
Wigman,Wigman
"Viewer, Workshop","Viewer, Workshop"
Buffoon,Buffoon
Mimic,Mimic
Snake Charmer,Snake Charmer
Bratticeman,Bratticeman
Mudman,Mudman
"Mat Weaver, Bamboo","Mat Weaver, Bamboo"
Mat Weaver,Mat Weaver
Sakhta Saaz (Kharadi),Sakhta Saaz (Kharadi)
Shade Writer,Shade Writer
Letter Writer Cum Painter,Letter Writer Cum Painter
Stereotype Caster,Stereotype Caster
"De-Gummer, Silk","De-Gummer, Silk"
Fitter - Shuttleless Weaving Machine Rapier,Fitter - Shuttleless Weaving Machine Rapier
Reed Man,Reed Man
"Set Framer, Silk","Set Framer, Silk"
Animator,"Animator, Animator"
Sourcing Manager,Sourcing Manager
Commercial Manager (Zonal or Regional),Commercial Manager (Zonal or Regional)
Customer Relationship Manager,Customer Relationship Manager
Key Accounts Sales Manager,Key Accounts Sales Manager
Key Accounts Service Manager,Key Accounts Service Manager
Manager Customer Quality L6,Manager Customer Quality L6
Manager-Stores Operation Level 5,Manager-Stores Operation Level 5
Personnel Manager,Personnel Manager
Product Conceptualization Manager,Product Conceptualization Manager
Regional Dealer Development Manager/Network Expansion Manager,Regional Dealer Development Manager/Network Expansion Manager
Regional Sales Manager (Pre-Owned Vehicles),Regional Sales Manager (Pre-Owned Vehicles)
Regional Sales Manager (RSM),Regional Sales Manager (RSM)
Regional Service Process Manager,Regional Service Process Manager
Sales Consultant (Institutional Sales),Sales Consultant (Institutional Sales)
Sales Manager,"Sales Manager, Sales Manager"
"Sales Supervisor, Wholesale Trade","Sales Supervisor, Wholesale Trade, Sales Supervisor, Wholesale Trade"
